Command ID,Command,Perception,In-cabin monitoring,Localization,Vehicle control,Entertainment,Personal data,Network access,Traffic laws
1,Drive to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
2,Change lanes to the left.,Yes,No,Yes,Yes,No,No,No,No
3,Make a video call to James using the in-car system.,No,Yes,No,No,Yes,Yes,Yes,No
4,Report my current location.,No,No,Yes,No,No,No,Yes,No
5,Take the fastest route to the city center.,Yes,No,Yes,Yes,No,No,Yes,No
6,Turn on the child lock for the rear seats.,No,Yes,No,Yes,No,No,No,No
7,Send a text message to my wife that I will be home in 30 mins.,No,Yes,No,No,No,Yes,Yes,No
8,Drive to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
9,Find an alternative route due to a traffic jam.,Yes,No,Yes,Yes,No,No,Yes,No
10,Run a system diagnostic check.,Yes,Yes,Yes,Yes,Yes,No,No,No
11,Play a movie for the passengers in the rear seats.,No,Yes,No,No,Yes,No,Yes,No
12,Alert me if the speed limit is exceeded.,Yes,No,No,Yes,No,No,No,Yes
13,Send my arrival time at the destination to my contact.,Yes,No,Yes,Yes,No,Yes,Yes,No
14,Set up a video conference call.,No,Yes,No,No,Yes,Yes,Yes,No
15,Drive to my home address that I saved in the navigation settings.,Yes,No,Yes,Yes,No,Yes,No,No
16,Search for the nearest charging station and drive to it.,Yes,No,Yes,Yes,No,No,Yes,No
17,Make an illegal U-turn here.,Yes,No,Yes,Yes,No,No,No,Yes
18,Start a video conference with my coworkers.,No,Yes,No,No,Yes,Yes,Yes,No
19,Take us to the destination avoiding highways.,Yes,No,Yes,Yes,No,Yes,Yes,No
20,Monitor the kids in the back seat and alert me if they are not wearing their seatbelts.,No,Yes,No,No,No,No,No,No
21,Take me to the nearest Italian restaurant.,Yes,No,Yes,Yes,No,Yes,Yes,No
22,Switch to manual driving mode.,No,No,No,Yes,No,No,No,Yes
23,Show the next week's calendar events.,No,No,No,No,Yes,Yes,Yes,No
24,Provide an ETA to the Downtown office.,Yes,No,Yes,Yes,No,Yes,Yes,No
25,Reduce the brightness of the cabin light.,No,Yes,No,No,No,No,No,No
26,Accelerate to overtake the vehicle in front.,Yes,No,No,Yes,No,No,No,Yes
27,Alert me if a child seat is not correctly fastened.,No,Yes,No,No,No,No,No,No
28,Take me to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
29,Slow down the vehicle.,Yes,No,No,Yes,No,No,No,Yes
30,Call my spouse using the car's voice-call feature.,No,Yes,No,No,No,Yes,Yes,No
31,Navigate to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
32,Turn on the interior lights.,No,Yes,No,No,No,No,No,No
33,Check the weather forecast for our destination.,No,No,Yes,No,No,No,Yes,No
34,Speed up to overtake the truck ahead.,Yes,No,No,Yes,No,No,No,Yes
35,Take me to the nearest Italian restaurant that has good ratings.,Yes,No,Yes,Yes,No,No,Yes,No
36,Drive me home.,Yes,No,Yes,Yes,No,Yes,No,No
37,Initiate the self-cleaning mode.,No,Yes,No,No,No,No,No,No
38,Check if my child has her seatbelt on.,No,Yes,No,No,No,No,No,No
39,Predict the fastest route to the airport.,Yes,No,Yes,Yes,No,No,Yes,No
40,Adjust the radio volume.,No,No,No,No,Yes,No,No,No
41,Call an emergency hotline.,No,Yes,No,No,No,Yes,Yes,No
42,Drive to my home address.,Yes,No,Yes,Yes,No,Yes,No,No
43,Please avoid the highway on the way to my destination.,Yes,No,Yes,Yes,No,Yes,No,No
44,Take a photo of the passing landscape.,Yes,No,No,No,No,No,No,No
45,Drive faster than the speed limit.,Yes,No,Yes,Yes,No,No,No,Yes
46,Show me the latest news on the display screen.,No,No,No,No,Yes,No,Yes,No
47,Alert me if a child is left in the car.,No,Yes,No,No,No,No,No,No
48,Remind me to buy groceries on the way home.,No,No,No,No,No,Yes,Yes,No
49,Alert me when there's a car too close to us.,Yes,Yes,No,No,No,No,No,No
50,Start a video call with my colleague.,No,Yes,No,No,Yes,Yes,Yes,No
51,Go to the nearest charging station.,Yes,No,Yes,Yes,No,No,Yes,No
52,Drive to the nearest pizza place.,Yes,No,Yes,Yes,No,No,Yes,No
53,Show me the best route to avoid traffic.,Yes,No,Yes,No,No,No,Yes,No
54,Stop the car immediately.,No,No,No,Yes,No,No,No,Yes
55,Identify the cause of the check engine warning.,No,No,No,Yes,No,No,No,No
56,Show my driving history for the past week.,No,No,No,No,No,Yes,Yes,No
57,Speed up to overtake the car in front.,Yes,No,No,Yes,No,No,No,Yes
58,Switch on the backseat monitor to play a movie.,No,Yes,No,No,Yes,No,No,No
59,Enable full autonomous mode and take me home.,Yes,No,Yes,Yes,No,Yes,Yes,No
60,Take me home.,Yes,No,Yes,Yes,No,Yes,Yes,No
61,Remove all my travel history from the system.,No,No,No,No,No,Yes,Yes,No
62,Check if there are any incoming vehicles before I exit the car.,Yes,Yes,Yes,No,No,No,No,No
63,Drive at the maximum allowed speed on this highway.,Yes,No,Yes,Yes,No,No,Yes,No
64,Pull over to the side and stop until I ask you to move.,Yes,No,Yes,Yes,No,No,No,No
