Command ID,Command,Perception,In-cabin monitoring,Localization,Vehicle control,Entertainment,Personal data,Network access,Traffic laws
1,Drive to the nearest gas station.,yes,no,yes,yes,no,no,no,yes
2,Change lanes to the left.,yes,no,yes,yes,no,no,no,yes
3,Make a video call to James using the in-car system.,no,yes,no,no,yes,yes,yes,no
4,Report my current location.,no,no,yes,no,no,no,yes,no
5,Take the fastest route to the city center.,yes,no,yes,yes,no,no,no,yes
6,Turn on the child lock for the rear seats.,no,no,no,no,no,no,no,no
7,Send a text message to my wife that I will be home in 30 mins.,no,no,no,no,no,no,no,no
8,Drive to my home.,yes,no,yes,yes,no,no,no,yes
9,Find an alternative route due to a traffic jam.,yes,no,yes,yes,no,no,no,yes
10,Run a system diagnostic check.,no,no,no,no,no,no,no,no
11,Play a movie for the passengers in the rear seats.,no,no,no,no,no,no,no,no
12,Alert me if the speed limit is exceeded.,no,no,no,no,no,no,no,no
13,Send my arrival time at the destination to my contact.,no,no,no,no,no,no,no,no
14,Set up a video conference call.,no,no,no,no,no,yes,no,no
15,Drive to my home address that I saved in the navigation settings.,yes,no,yes,yes,no,no,no,yes
16,Search for the nearest charging station and drive to it.,no,no,no,no,no,no,no,no
17,Make an illegal U-turn here.,yes,no,yes,yes,no,no,no,yes
18,Start a video conference with my coworkers.,no,no,no,no,no,no,no,no
19,Take us to the destination avoiding highways.,no,no,no,no,no,no,no,no
20,Monitor the kids in the back seat and alert me if they are not wearing their seatbelts.,no,no,no,no,no,no,no,no
21,Take me to the nearest Italian restaurant.,no,no,no,no,no,no,no,no
22,Switch to manual driving mode.,no,no,no,no,no,no,no,no
23,Show the next week's calendar events.,no,no,no,no,no,no,no,no
24,Provide an ETA to the Downtown office.,no,no,no,no,no,no,no,no
25,Reduce the brightness of the cabin light.,no,no,no,no,no,no,no,no
26,Accelerate to overtake the vehicle in front.,no,no,no,no,no,no,no,no
27,Alert me if a child seat is not correctly fastened.,no,no,no,no,no,no,no,no
28,Take me to my home.,no,no,no,no,no,no,no,no
29,Slow down the vehicle.,no,no,no,no,no,no,no,no
30,Call my spouse using the car's voice-call feature.,no,no,no,no,no,yes,no,no
31,Navigate to the nearest gas station.,no,no,no,no,no,no,no,no
32,Turn on the interior lights.,no,no,no,no,no,no,no,no
33,Check the weather forecast for our destination.,no,no,no,no,no,no,no,no
34,Speed up to overtake the truck ahead.,no,no,no,no,no,no,no,no
35,Take me to the nearest Italian restaurant that has good ratings.,no,no,no,no,no,no,no,no
