Command ID,Command,Perception,In-cabin monitoring,Localization,Vehicle control,Entertainment,Personal data,Network access,Traffic laws
773,Check if my cargo in the trunk is secure.,No,Yes,No,No,No,No,No,No
496,Find the fastest route to the nearest supermarket.,Yes,No,Yes,Yes,No,No,Yes,No
76,Check if the kid at the back seat is sleeping.,No,Yes,No,No,No,No,No,No
198,Find the nearest parking area.,Yes,No,Yes,Yes,No,No,Yes,No
670,Send my current location to my husband.,No,No,Yes,No,No,Yes,Yes,No
248,Overtake the slow vehicle in front.,Yes,No,Yes,Yes,No,No,No,Yes
1003,Start driving as soon as I sit in the back seat.,Yes,Yes,Yes,Yes,No,No,No,No
81,Start a video call with my mom on the vehicle's display.,No,Yes,No,No,Yes,Yes,Yes,No
27,Alert me if a child seat is not correctly fastened.,No,Yes,No,No,No,No,No,No
199,Find the fastest route to my home and avoid tolls.,Yes,No,Yes,Yes,No,Yes,Yes,No
141,Play the news from BBC radio.,No,No,No,No,Yes,No,Yes,No
690,Take me to my office.,Yes,No,Yes,Yes,No,Yes,Yes,No
682,Warn me if a pedestrian comes too close.,Yes,No,No,Yes,No,No,No,No
223,Call emergency services and share our location.,No,No,Yes,No,No,No,Yes,No
921,Find a nearby restaurant for dinner based on my preferences.,No,No,Yes,No,No,Yes,Yes,No
1077,Start a video conference with my team.,No,Yes,No,No,Yes,Yes,Yes,No
204,Show me the latest news headlines on the infotainment screen.,No,No,No,No,Yes,No,Yes,No
1029,Take me home after this movie finishes.,Yes,Yes,Yes,Yes,No,Yes,Yes,No
1071,Alert me if there is a vehicle in my blind spot.,Yes,No,No,No,No,No,No,No
618,Show me the realtime view of the rear camera.,Yes,No,No,No,No,No,No,No
216,Start highway autopilot mode.,Yes,Yes,Yes,Yes,No,No,No,No
188,Watch a movie on Netflix.,No,No,No,No,Yes,Yes,Yes,No
637,Please drive to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
522,Show a comedy movie on the rear screen.,No,Yes,No,No,Yes,No,Yes,No
283,Navigate to the nearest Chinese restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
49,Alert me when there's a car too close to us.,Yes,Yes,No,No,No,No,No,No
754,Show me the latest news on the digital display.,No,No,No,No,Yes,No,Yes,No
934,Start autonomous drive mode to my work location.,Yes,Yes,Yes,Yes,No,Yes,Yes,No
423,Drive me to the nearest supermarket.,Yes,No,Yes,Yes,No,No,Yes,No
313,Find a parking spot in the mall's parking lot.,Yes,No,Yes,Yes,No,No,No,No
353,Take me to the fastest route to avoid traffic.,Yes,No,Yes,Yes,No,Yes,Yes,No
461,Find the quickest route to my home.,Yes,No,Yes,Yes,No,Yes,Yes,No
173,Turn on rearview camera.,Yes,No,No,No,No,No,No,No
99,Share the vehicle's location to my Dad.,No,No,Yes,No,No,Yes,Yes,No
884,Alert me when the vehicle speed exceeds 70 mph.,Yes,No,Yes,Yes,No,No,No,Yes
167,Show the backseat passenger's movie on the main screen.,No,Yes,No,No,Yes,No,Yes,No
667,Book a table for four at my favorite restaurant at 7,No,No,No,No,No,Yes,Yes,No
1067,Avoid highways on the route to my destination.,Yes,No,Yes,Yes,No,No,Yes,No
246,Alert me if a child is forgotten inside the car.,No,Yes,No,No,No,No,Yes,No
814,Alert me when the vehicle speed exceeds the speed limit.,Yes,No,Yes,Yes,No,No,No,No
969,Adjust the seat to my preferred setting.,No,Yes,No,No,No,Yes,No,No
998,Adjust the seats to my preset comfortable position.,No,Yes,No,No,No,Yes,No,No
751,Start self-cleaning mode after I leave the car.,No,Yes,No,No,No,No,No,No
314,Navigate to the nearest gas station using Waze app.,Yes,No,Yes,Yes,No,No,Yes,No
546,Identify and alert me about any objects approaching the vehicle.,Yes,No,No,No,No,No,No,No
451,Navigate to the nearest shopping mall avoiding any toll roads.,Yes,No,Yes,Yes,No,No,Yes,No
434,Lock the doors and close the windows.,No,Yes,No,No,No,No,No,No
481,Detect any potential danger inside the cabin.,No,Yes,No,No,No,No,No,No
87,Take me to the nearest gas station.,Yes,No,Yes,Yes,No,No,Yes,No
3,Make a video call to James using the in-car system.,No,Yes,No,No,Yes,Yes,Yes,No
23,Show the next week's calendar events.,No,No,No,No,Yes,Yes,Yes,No
951,Start self-driving mode.,Yes,Yes,Yes,Yes,No,No,No,No
144,Increase the car speed to overtake the vehicle in front.,Yes,No,Yes,Yes,No,No,No,Yes
95,Drive to the nearest sushi restaurant,Yes,No,Yes,Yes,No,Yes,Yes,No
288,Stop if you detect an obstacle on the road.,Yes,No,Yes,Yes,No,No,No,No
253,Avoid toll roads on the way to our destination.,Yes,No,Yes,Yes,No,No,Yes,No
708,Show me the live traffic situation on my route to work.,No,No,Yes,No,Yes,Yes,Yes,No
158,Follow the car ahead of us.,Yes,No,Yes,Yes,No,No,No,Yes
597,Direct me to John's last known location.,Yes,No,Yes,Yes,No,Yes,Yes,No
574,Drive me to the nearest Italian restaurant.,Yes,No,Yes,Yes,No,No,Yes,No
75,Drive to Bob's house.,Yes,No,Yes,Yes,No,Yes,Yes,Yes
333,Drive to a less crowded area.,Yes,No,Yes,Yes,No,No,No,No
561,Rapidly accelerate for fun.,Yes,No,No,Yes,No,No,No,Yes
